,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
309,1,0,51,100.0,100.0,3,84939,0,0,-1,1,41.9,0,0,4,3.0,4.0,2,Danny,2.5,0,1,23.7,237,False,57.8,0,0,0,0,256,,2018-02-24T19:31:18Z,54,0,0,0,84939.jpg,2.4,0,0,Ings,0.2,False,28.0,a,10,14,139.0,17,16030,738,10707,1442,0.5,3.1,Ings,0
310,0,0,3,0.0,0.0,0,152760,0,0,-1,1,0.0,0,0,4,0.0,0.0,0,Divock,0.0,1,0,0.0,238,False,0.0,0,0,0,0,9,Joined Wolfsburg on season-long loan deal,2017-08-31T14:31:14Z,74,0,0,0,152760.jpg,1.0,0,0,Origi,0.2,False,27.0,u,10,14,0.0,1,1171,5,22037,3,0.0,0.1,Origi,0
311,1,0,63,,,2,154566,0,0,-4,4,158.9,0,0,4,1.3,2.3,0,Dominic,0.8,4,0,50.9,239,False,78.8,0,0,0,0,475,,,46,0,0,0,154566.jpg,1.4,0,0,Solanke,1.6,False,29.0,a,10,14,275.0,26,132130,651,233831,960,0.2,5.7,Solanke,0
312,0,5,437,100.0,100.0,7,97032,0,0,2,-2,109.1,1,0,2,5.0,6.0,5,Virgil,4.5,27,0,89.9,311,False,549.4,0,0,0,0,2073,,2018-01-14T15:31:17Z,57,0,0,0,97032.jpg,2.9,0,0,van Dijk,7.3,False,4.0,a,10,14,239.0,70,694008,3473,420462,28690,0.8,12.3,van Dijk,1
313,4,9,441,100.0,100.0,9,122798,0,0,1,-1,377.6,2,0,2,2.0,3.0,0,Andrew,1.5,17,0,88.1,475,False,346.8,0,0,0,0,1777,,2018-04-07T11:31:20Z,51,0,0,0,122798.jpg,4.5,0,0,Robertson,7.9,False,26.0,a,10,14,157.0,91,743544,1565,383023,52265,0.3,17.8,Robertson,2
314,0,0,0,0.0,0.0,0,91979,0,0,-1,1,0.0,0,0,2,0.0,0.0,0,Jon,0.0,0,0,0.0,514,False,0.0,0,0,0,0,0,Season-long loan to Bolton,2018-02-01T10:34:15Z,44,0,0,0,91979.jpg,0.0,0,0,Flanagan,0.0,False,38.0,u,10,14,0.0,0,1183,4,1516,2,0.0,0.0,Flanagan,0
315,0,0,0,,,0,95463,0,0,-1,1,0.0,0,0,1,0.5,1.5,0,Danny,0.0,0,0,0.0,530,False,0.0,0,0,0,0,0,,,44,0,0,0,95463.jpg,0.0,0,0,Ward,0.0,False,52.0,a,10,14,0.0,0,1008,10,1129,10,0.0,0.0,Ward,0
316,0,0,0,,,0,153477,0,0,0,0,0.0,0,0,2,0.5,1.5,0,Conor,0.0,0,0,0.0,639,False,0.0,0,0,0,0,0,,,40,0,0,0,153477.jpg,0.0,0,0,Masterson,0.0,False,63.0,a,10,14,0.0,0,367,41,148,19,0.0,0.0,Masterson,0
317,0,0,0,,,0,206915,0,0,0,0,0.0,0,0,3,0.5,1.5,0,Curtis,0.0,0,0,0.0,640,False,0.0,0,0,0,0,0,,,45,0,0,0,206915.jpg,0.0,0,0,Jones,0.0,False,48.0,a,10,14,0.0,0,116,22,44,8,0.0,0.0,Jones,0
318,0,0,0,,,0,217989,0,0,0,0,0.0,0,0,3,0.5,1.5,0,Rafael,0.0,0,0,0.0,641,False,0.0,0,0,0,0,0,,,45,0,0,0,217989.jpg,0.0,0,0,Camacho,0.0,False,64.0,a,10,14,0.0,0,86,24,52,17,0.0,0.0,Camacho,0
319,0,9,642,100.0,100.0,15,121160,0,0,2,-2,10.0,2,0,1,8.6,3.8,2,Ederson,2.8,26,0,53.7,240,False,527.2,0,0,0,0,3105,,2017-09-09T13:01:15Z,57,0,0,2,121160.jpg,4.3,0,55,Santana de Moraes,8.9,False,31.0,a,11,43,0.0,151,623449,15468,426178,4826,0.5,26.5,Ederson,0
320,0,0,4,,,0,33148,0,0,-5,5,0.0,0,0,1,3.0,1.0,0,Claudio,0.0,0,0,0.3,241,False,2.6,0,0,0,0,44,,,45,0,0,0,33148.jpg,1.0,0,0,Bravo,0.5,False,1.0,a,11,43,0.0,1,9354,41,40528,75,0.0,0.2,Bravo,0
321,0,2,280,0.0,0.0,7,97299,0,0,-2,2,19.3,0,0,2,0.0,0.0,0,John,0.0,11,0,36.5,242,False,247.4,0,0,0,0,1139,Groin Injury - Expected back 06 May,2018-04-12T18:01:18Z,53,0,0,0,97299.jpg,3.4,0,0,Stones,3.0,False,5.0,i,11,43,97.0,55,622198,20,785123,705,0.0,10.4,Stones,0
322,0,0,0,0.0,0.0,0,42593,0,0,0,0,0.0,0,0,2,0.0,0.0,0,Aleksandar,0.0,0,0,0.0,243,False,0.0,0,0,0,0,0,Transferred to Roma,2017-07-23T10:04:00Z,55,0,0,0,42593.jpg,0.0,0,0,Kolarov,0.0,False,11.0,u,11,43,0.0,0,151,1,2190,1,0.0,0.0,Kolarov,0
323,1,2,311,75.0,100.0,6,17476,0,0,-1,1,60.7,0,0,2,9.0,5.5,0,Vincent,4.5,10,1,55.6,244,False,379.6,0,0,0,0,1304,Knock - 75% chance of playing,2018-04-30T09:31:20Z,59,0,0,0,17476.jpg,3.6,0,0,Kompany,3.2,False,4.0,d,11,43,116.0,58,174303,2396,300889,18188,0.8,9.8,Kompany,6
324,0,18,711,100.0,100.0,14,57410,0,0,9,-9,199.9,4,0,2,4.6,1.8,1,Nicolás,0.8,25,4,138.7,245,True,825.0,0,0,0,0,2876,,2017-11-05T16:01:15Z,64,1,0,0,57410.jpg,4.5,0,0,Otamendi,26.1,False,30.0,a,11,43,359.0,147,2782183,16307,1725999,20346,0.1,23.0,Otamendi,9
325,2,0,376,100.0,100.0,6,41823,0,0,0,0,248.5,0,0,3,8.6,3.8,2,Fabian,2.8,17,1,66.5,246,False,355.0,0,0,0,0,1626,,2018-03-08T15:01:18Z,45,0,0,0,41823.jpg,2.6,0,0,Delph,0.4,False,18.0,a,11,43,62.0,53,123532,1317,121982,406,0.6,11.8,Delph,2
326,17,19,697,100.0,100.0,11,103955,1,-1,11,-11,809.3,7,0,3,21.6,10.3,12,Raheem,9.3,23,18,322.1,247,True,961.0,0,0,0,0,2404,,2018-03-12T20:01:18Z,91,0,0,0,103955.jpg,7.2,1,0,Sterling,26.8,False,7.0,a,11,43,1449.0,223,3967369,108670,2779904,3140,1.0,24.8,Sterling,3
327,11,26,656,100.0,100.0,13,20664,0,0,3,-3,1088.7,6,0,3,10.0,4.5,0,David,3.5,18,9,279.7,248,False,860.2,0,0,0,0,2341,,2018-01-31T21:01:18Z,83,0,0,0,20664.jpg,5.9,0,0,Silva,12.7,False,21.0,a,11,43,844.0,166,2796667,14368,2499948,36947,0.4,20.0,David Silva,5
328,2,0,84,100.0,100.0,0,14664,0,0,-5,5,84.8,0,0,3,6.0,2.5,1,Gnegneri Yaya,1.5,1,0,20.8,249,False,88.8,0,0,0,0,142,,2018-02-13T23:31:17Z,60,0,0,0,14664.jpg,1.6,0,0,Touré,0.8,False,42.0,a,11,43,36.0,14,11993,79,80490,73,0.3,2.3,Yaya Touré,1
329,4,7,536,100.0,100.0,13,27789,0,0,0,0,443.1,1,0,3,8.0,3.5,9,Fernando,2.5,23,4,150.3,250,False,706.0,0,0,0,0,2610,,2018-04-07T18:31:19Z,50,0,0,0,27789.jpg,3.4,0,0,Luiz Rosa,4.1,False,25.0,a,11,43,353.0,105,822311,11598,757533,868,0.5,21.0,Fernandinho,7
330,0,0,0,0.0,0.0,0,52538,0,0,0,0,0.0,0,0,3,0.0,0.0,0,Fernando Francisco,0.0,0,0,0.0,251,False,0.0,0,0,0,0,0,Transferred to Galatasaray,2017-08-06T07:07:11Z,45,0,0,0,52538.jpg,0.0,0,0,Reges,0.0,False,6.0,u,11,43,0.0,0,604,0,4541,1,0.0,0.0,Fernando,0
331,17,25,849,100.0,100.0,17,61366,0,0,3,-3,1703.2,5,0,3,9.0,4.0,2,Kevin,3.0,22,8,357.4,252,True,1119.6,0,0,0,0,2917,,2018-01-02T20:01:18Z,103,0,0,0,61366.jpg,5.7,0,0,De Bruyne,22.1,False,17.0,a,11,43,750.0,200,2089646,15295,2427597,16204,0.3,19.4,De Bruyne,2
332,2,9,346,100.0,100.0,5,59859,0,0,-1,1,367.4,2,0,3,14.6,6.8,2,Ilkay,5.8,14,4,109.3,253,False,372.8,0,0,0,0,1310,,2017-10-28T13:01:15Z,54,0,0,0,59859.jpg,2.8,0,0,Gündogan,2.3,False,8.0,a,11,43,356.0,76,242338,14799,139123,5814,1.1,14.1,Gündogan,3
333,0,0,0,0.0,0.0,0,86173,0,0,0,0,0.0,0,0,3,0.0,0.0,0,Manuel,0.0,0,0,0.0,254,False,0.0,0,0,0,0,0,Transferred to Sevilla,2017-07-18T09:34:56Z,70,0,0,0,86173.jpg,0.0,0,0,Agudo Durán,0.0,False,9.0,u,11,43,0.0,0,76,0,1681,3,0.0,0.0,Nolito,0
334,12,14,569,100.0,100.0,10,182156,0,0,1,-1,781.3,4,0,3,10.0,4.5,7,Leroy,3.5,21,10,245.4,255,False,749.6,0,0,0,0,2145,,2018-01-28T18:31:17Z,86,0,0,0,182156.jpg,5.5,0,0,Sané,12.2,False,19.0,a,11,43,926.0,159,2743576,33069,2377614,7976,0.4,18.5,Sané,4
335,5,6,398,,,8,165809,0,0,-8,8,460.4,2,0,3,10.0,4.5,0,Bernardo Mota,3.5,9,5,130.2,256,False,426.8,0,0,0,0,1330,,,72,0,0,0,165809.jpg,3.1,0,0,Veiga de Carvalho e Silva,1.4,False,20.0,a,11,43,416.0,99,175544,2934,215461,4416,0.5,13.8,Bernardo Silva,0
336,6,22,740,0.0,0.0,13,37572,0,0,0,0,570.8,4,0,4,0.0,0.0,0,Sergio,0.0,12,21,302.5,257,False,966.4,0,0,0,0,1960,Knee injury - Unknown return date,2018-04-13T13:01:19Z,115,0,0,0,37572.jpg,6.8,0,0,Agüero,11.0,False,10.0,i,11,43,1484.0,169,4136771,175,4173091,11647,0.0,14.7,Agüero,2
337,7,17,425,100.0,100.0,8,205651,1,-1,-1,1,323.6,3,0,4,15.6,7.3,9,Gabriel Fernando,6.3,11,12,190.9,259,False,563.8,0,0,0,0,1457,,2017-12-31T13:01:17Z,104,0,2,0,205651.jpg,4.5,0,0,de Jesus,16.8,False,33.0,a,11,43,1023.0,117,2712934,139137,2417504,5160,0.6,11.4,Jesus,5
338,6,6,663,75.0,100.0,14,58621,0,0,1,-1,469.0,3,0,2,3.8,2.0,2,Kyle,1.0,22,0,109.5,379,False,523.0,0,0,0,0,2694,Muscle injury - 75% chance of playing,2018-04-29T15:01:18Z,66,1,0,0,58621.jpg,4.2,1,0,Walker,12.7,False,2.0,d,11,43,103.0,130,805163,1122,1248044,27620,0.2,19.7,Walker,2
339,2,5,340,,,8,100180,0,0,-5,5,139.6,2,0,2,8.0,3.5,1,Danilo Luiz,2.5,10,2,60.3,483,False,313.6,0,0,0,0,1160,,,50,0,0,0,100180.jpg,4.0,0,0,da Silva,2.7,False,3.0,a,11,43,149.0,83,339285,7172,442509,2361,0.5,16.6,Danilo,2
340,1,1,88,100.0,100.0,2,102826,0,0,-2,2,102.7,0,0,2,3.6,1.3,0,Benjamin,0.3,1,0,22.1,484,False,74.0,0,0,0,0,313,,2018-04-22T14:31:17Z,63,0,0,0,102826.jpg,3.6,0,0,Mendy,0.3,False,22.0,a,11,43,44.0,18,89476,323,112018,206,0.0,2.9,Mendy,2
341,1,0,28,100.0,100.0,0,209244,0,0,-3,3,31.0,0,0,3,3.6,1.3,0,Phil,0.3,1,0,6.9,492,False,28.6,0,0,0,0,37,,2017-12-22T14:01:16Z,47,0,0,0,209244.jpg,1.8,0,0,Foden,0.0,False,47.0,a,11,43,10.0,7,1499,53,2800,64,0.1,1.5,Foden,0
342,0,0,9,,,0,216183,0,0,-3,3,2.9,0,0,3,3.0,1.0,0,Brahim,0.0,1,0,4.5,493,False,6.6,0,0,0,0,31,,,47,0,0,0,216183.jpg,1.0,0,0,Diaz,0.0,False,55.0,a,11,43,35.0,3,1712,5,4310,6,0.0,0.6,Diaz,0
343,0,0,89,,,3,206325,0,0,0,0,112.3,0,0,3,3.0,1.0,0,Oleksandr,0.0,2,0,22.8,551,False,103.0,0,0,0,0,455,,,50,0,0,0,206325.jpg,2.0,0,0,Zinchenko,0.0,False,35.0,a,11,43,13.0,14,2056,7,1657,22,0.0,2.8,Zinchenko,1
344,0,0,0,,,0,109646,0,0,0,0,0.0,0,0,2,3.0,1.0,0,Oluwatosin,0.0,0,0,0.0,586,False,0.0,0,0,0,0,0,,,40,0,0,0,109646.jpg,0.0,0,0,Adarabioyo,0.0,False,24.0,a,11,43,0.0,0,4019,54,2559,61,0.0,0.0,Adarabioyo,0
345,0,1,155,100.0,100.0,3,146941,0,0,-4,4,33.6,0,0,2,8.0,3.5,2,Aymeric,2.5,4,0,17.9,612,False,126.4,0,0,0,0,626,,2018-04-01T02:01:21Z,51,0,0,0,146941.jpg,3.7,0,0,Laporte,1.4,False,14.0,a,11,43,18.0,26,174588,17672,96856,1258,0.5,5.1,Laporte,1
346,0,0,2,,,0,174594,0,0,0,0,1.3,0,0,4,3.6,1.3,1,Lukas,0.3,0,0,0.1,627,False,0.0,0,0,0,0,10,,,45,0,0,0,174594.jpg,1.0,0,0,Nmecha,0.1,False,43.0,a,11,43,0.0,1,10131,540,6010,276,0.1,0.2,Nmecha,0
347,10,13,486,100.0,100.0,9,37265,0,0,-5,5,1062.1,4,0,3,10.1,4.3,5,Alexis,4.3,32,9,308.5,14,False,789.2,0,0,0,0,2366,,2017-12-02T16:31:15Z,115,0,1,0,37265.jpg,5.0,0,0,Sánchez,3.3,False,7.0,a,12,1,1232.0,146,621888,7420,597721,3953,0.4,12.7,Sánchez,5
348,1,3,555,100.0,100.0,16,62398,0,0,-3,3,391.0,1,0,3,5.1,1.8,2,Nemanja,1.8,25,1,121.2,107,False,651.8,0,0,0,0,3027,,2017-12-04T15:01:15Z,47,0,0,0,62398.jpg,2.5,0,0,Matic,9.1,False,31.0,a,12,1,168.0,89,655106,3777,1113555,2436,0.4,18.9,Matic,6
349,0,10,719,,,17,51940,0,0,4,-4,10.0,0,0,1,8.1,3.3,2,David,3.3,27,0,80.4,260,True,791.2,0,0,0,0,3150,,,59,0,0,0,51940.jpg,4.7,0,110,De Gea,45.0,False,1.0,a,12,1,0.0,163,1466293,23623,1085990,4985,0.6,27.6,De Gea,0
350,0,0,0,0.0,0.0,0,42899,0,0,-3,3,0.0,0,0,1,0.0,0.0,0,Sergio,0.0,0,0,0.0,261,False,0.0,0,0,0,0,0,Knock - Unknown return date,2018-03-28T09:01:18Z,47,0,0,0,42899.jpg,0.0,0,0,Romero,0.1,False,20.0,i,12,1,0.0,0,1775,35,7283,47,0.0,0.0,Romero,0
351,0,0,0,,,0,168196,0,0,-1,1,0.0,0,0,1,1.5,0.0,0,Joel Dinis,0.0,0,0,0.0,262,False,0.0,0,0,0,0,0,,,39,0,0,0,168196.jpg,0.0,0,0,Castro Pereira,4.2,False,40.0,a,12,1,0.0,0,417617,1549,201645,3172,0.0,0.0,Joel Pereira,0
352,0,9,553,100.0,100.0,10,55909,1,-1,2,-2,34.4,2,0,2,14.1,6.3,2,Chris,6.3,23,4,97.4,263,False,713.8,0,0,0,0,2355,,2018-01-01T17:01:18Z,57,0,0,0,55909.jpg,4.3,0,0,Smalling,10.6,False,12.0,a,12,1,223.0,115,955711,66597,467407,3042,1.1,20.2,Smalling,4
353,0,18,524,75.0,100.0,14,76359,0,0,5,-5,35.2,2,0,2,4.1,2.0,0,Phil,2.0,11,0,52.0,264,False,472.2,0,0,0,0,1883,Knock - 75% chance of playing,2018-05-02T10:31:17Z,55,1,0,0,76359.jpg,5.0,0,0,Jones,5.4,False,4.0,d,12,1,12.0,109,2072843,4034,1942629,8210,0.4,19.8,Jones,2
354,0,2,173,100.0,100.0,6,106760,0,0,-2,2,99.8,0,0,2,5.1,1.8,0,Luke,1.8,2,0,33.1,265,False,111.8,0,0,0,0,645,,2017-07-12T10:31:11Z,48,0,0,0,106760.jpg,4.9,0,0,Shaw,0.5,False,23.0,a,12,1,118.0,39,125027,213,110163,574,0.4,8.1,Shaw,1
355,0,4,88,100.0,100.0,2,58893,0,0,-1,1,25.1,0,0,2,1.5,0.0,0,Marcos,0.0,7,0,18.5,266,False,115.6,0,0,0,0,474,,2018-02-19T10:31:19Z,54,0,0,0,58893.jpg,2.3,0,0,Rojo,0.1,False,5.0,a,12,1,44.0,16,24940,25,25201,37,0.0,3.0,Rojo,5
