FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW1Forecast,GW2Forecast,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Lucas,Torreira,MID,ARS,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,Man City,Chelsea,West Ham,Cardiff City,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cenk,Tosun,FWD,EVE,7000000,0,55,3.97849602155789E-27,5.68356574508271E-34,7.85714285714286E-06,0,0,0,13,0,0,0,5,0,0,0,0,0,55,0,0,0,0,9,0,4,0,0,12.1,0,0,0,0,0,984,0,0,0,192,Wolverhampton,Southampton,Bournemouth,Huddersfield,West Ham,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.6
Andros,Townsend,MID,CRY,6000000,0,121,3.18421052631579,5.30701754385965E-07,2.01666666666667E-05,0,0,3,48,0,0,0,2,0,0,0,0,0,121,0,0,0,0,7,0,9,0,9,2,0,0,0,0,0,3120,0,0,0,552,Fulham,Liverpool,Watford,Southampton,Huddersfield,4,2.4,2.7,3.6,2.9,3.2,2.8,4.5,3,3.2,2.2,2.6,2,3.4,2.5,2.7,3.7,1.6,4.5,2.8,4,3.3,1.9,3,4.5,3.3,3.1,2.6,2.7,3.1,2,3.5,2.5,2,2.5,3.6,4,3.4,222.8
Kieran,Trippier,DEF,TOT,6000000,0,113,2.97368421052632,4.95614035087719E-07,1.88333333333333E-05,0,0,1,21,0,0,0,0,0,0,0,0,0,113,0,0,0,0,18,0,9,0,7,24.2,0,0,0,0,0,1912,0,0,0,539,Newcastle,Fulham,Man Utd,Watford,Liverpool,2.3,4.2,2.4,3,3.2,3.1,2.4,4.2,2.4,2.9,3.7,2.7,3.5,2.3,3.4,2.2,3,2.7,2.8,4.2,3.7,3,3.7,3.6,2.9,2.8,2.4,2.9,2.9,2.8,3.3,2.6,3.7,3,2.3,3,2.2,3.3,115.6
Antonio,Valencia,DEF,MUN,6500000,0,146,3.84210526315789,5.91093117408907E-07,2.24615384615385E-05,0,0,7,22,0,0,0,3,0,0,0,0,0,146,0,0,0,0,13,0,16,0,1,6.1,0,0,0,0,0,2741,0,0,0,660,Leicester,Brighton,Tottenham,Burnley,Watford,4.1,4.5,4.6,3.6,4.4,5.5,3.6,4.3,4.2,4.7,3.4,3.4,4.7,4.1,4.2,5.5,3.9,4.8,4.3,4.1,3.5,3.8,5.2,4.4,3.3,4.8,4.6,3.9,4.9,3.4,4.2,5.1,4.8,4.3,3.9,4.9,3.6,5.5,125.5
Patrick,van Aanholt,DEF,CRY,5500000,0,95,2.5,4.54545454545455E-07,1.72727272727273E-05,0,0,7,38,0,0,0,5,0,0,0,0,0,95,0,0,0,0,7,0,6,0,1,5.7,0,0,0,0,0,2182,0,0,0,448,Fulham,Liverpool,Watford,Southampton,Huddersfield,3.1,2.5,2.3,2.6,1.8,2.2,1.7,3.5,2,2.2,2.2,2.5,1.8,2.3,2.4,1.8,2.1,1.7,3.5,2.7,3.1,2.8,2,2.2,3.5,2.3,1.7,2.3,1.8,2.9,2,2.3,1.8,2.2,1.7,2.5,3.1,2.1,116.3
Virgil,van Dijk,DEF,LIV,6000000,0,78,2.05263157894737,3.42105263157895E-07,1.3E-05,0,0,1,28,0,0,0,0,0,0,0,0,0,78,0,0,0,0,5,0,8,0,0,13.2,0,0,0,0,0,2253,0,0,0,481,West Ham,Crystal Palace,Brighton,Leicester,Tottenham,1.7,1.5,2.2,1.2,1.4,2,1.6,1.6,1.3,2.9,1.2,2.9,1.7,1.9,1.3,1.2,1.7,2.5,1.6,1.6,1.2,1.7,1.9,1.6,1.3,1.6,1.3,2.1,1.5,1.7,2.5,1.8,1.6,2,2.5,1.7,1.3,2.9,100.2
Rajiv,van La Parra,MID,HUD,5000000,0,74,1.94736842105263,3.89473684210526E-07,1.48E-05,0,0,3,36,0,0,0,3,0,0,0,0,0,74,0,0,0,0,3,0,6,0,0,0.1,0,0,0,0,0,2131,0,0,1,240,Chelsea,Man City,Cardiff City,Everton,Crystal Palace,1.3,1,2.8,1.4,1.8,1.4,1.1,1.2,1.1,1.2,2.8,1.6,2.4,1.4,1.2,1.1,1.5,1.7,1,2.4,1.6,2.4,1,1.7,1,1.5,1.1,2.8,1.1,1.6,1.2,1.4,1.8,1,1.6,1,1.2,1.4,112.7
Jamie,Vardy,FWD,LEI,9000000,0,183,4.81578947368421,5.35087719298246E-07,2.03333333333333E-05,0,0,3,57,0,0,0,20,0,0,0,0,0,183,0,0,1,0,28,0,8,0,2,9.1,0,0,0,0,0,3248,0,0,0,674,Man Utd,Wolverhampton,Southampton,Liverpool,Bournemouth,4.4,6.8,5.5,5.5,5.7,6.3,5.4,6.3,4.8,6.3,6,6.1,5.6,6.2,6,5.6,5.3,4.1,5.6,6.8,5.3,6.4,6,4.5,5.4,4.6,6.2,6.5,5.3,6.8,5.1,6.6,5.4,6.3,5.3,5.7,4.7,5.1,248.6
Jan,Vertonghen,DEF,TOT,6000000,0,138,3.63157894736842,6.05263157894737E-07,2.3E-05,0,0,4,31,0,0,0,0,0,0,0,0,0,138,0,0,0,0,13,0,16,0,1,8.5,0,0,0,0,0,3203,0,0,0,778,Newcastle,Fulham,Man Utd,Watford,Liverpool,3.2,5.2,3.3,4,4.3,4.1,3.3,5.2,3.3,3.9,4.5,3.6,4.6,3.1,4.5,3,4,3.6,3.8,5.2,4.5,4.1,4.5,4.7,3.9,3.8,3.3,3.9,3.9,3.8,4.3,3.5,4.8,4,3.1,4,3.1,4.3,122.7
